Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
2230574,0000008F,false,Rx,0,8,FF,FF,00,7D,F2,FF,FF,FF,
2231976,00000197,false,Rx,0,4,37,07,FE,FC,00,00,00,00,
2234109,000001C0,false,Rx,0,8,5F,39,00,40,63,55,55,57,
2234113,00000199,false,Rx,0,6,79,F3,EB,7E,00,20,00,00,
2234115,0000019A,false,Rx,0,6,E4,F3,4A,7F,00,10,00,00,
2235658,000000CA,false,Rx,0,8,33,26,00,00,00,00,FD,F7,
2235662,00000349,false,Rx,0,5,FE,FF,FE,FF,FF,00,00,00,
2235664,000003D7,false,Rx,0,8,A6,04,4C,81,3C,8E,D1,14,
2237212,00000510,false,Rx,0,8,40,10,00,02,03,92,01,00,
2237214,000000D9,false,Rx,0,8,1E,F0,00,10,00,F0,7F,CF,
2238667,000000A5,false,Rx,0,8,75,00,FF,F7,FF,00,00,C1,
2238670,00000095,false,Rx,0,8,64,68,96,00,00,F0,00,00,
2238672,000001CE,false,Rx,0,8,64,68,96,00,00,F0,00,00,
2238674,000000A7,false,Rx,0,7,3A,F0,FF,F0,FF,FF,0F,00,
2238676,000000DC,false,Rx,0,6,37,00,22,D0,07,EE,00,00,
2239456,000001CF,false,Rx,0,8,64,68,96,00,00,F0,00,00,
2239459,00000173,false,Rx,0,8,4D,F1,00,02,20,00,D2,1F,
2239460,000001A1,false,Rx,0,5,94,C9,00,00,81,00,00,00,
2242844,00000293,false,Rx,0,5,AC,AE,FE,FF,14,00,00,00,
2242846,00000083,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
2242848,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
2244687,0000019F,false,Rx,0,6,51,F4,FA,7F,00,10,00,00,
2244689,0000036F,false,Rx,0,5,9A,F8,FE,FF,14,00,00,00,
2244691,000001DB,false,Rx,0,8,64,00,0A,6E,C0,FF,00,FF,
2245828,000001E1,false,Rx,0,6,61,F3,00,FF,FF,FF,00,00,
2246941,000002BB,false,Rx,0,5,7B,FB,3F,00,F2,00,00,00,
2248021,000000FA,false,Rx,0,8,02,C0,08,00,C8,07,D0,D7,
2248023,000000D9,false,Rx,0,8,43,F1,00,10,00,F0,7F,CF,
2249482,000002AE,false,Rx,0,8,FF,00,FF,64,FF,AF,64,00,
2249484,00000201,false,Rx,0,8,08,57,39,66,00,FF,F0,FF,
2249486,000002C4,false,Rx,0,8,00,00,00,FF,FF,00,00,0F,
2249488,0000029D,false,Rx,0,8,FF,FF,FF,FF,0F,FF,FF,FF,
2252813,0000028E,false,Rx,0,5,72,DE,FE,FF,14,00,00,00,
2254943,00000199,false,Rx,0,6,18,F5,EB,7E,00,20,00,00,
2254945,0000019A,false,Rx,0,6,3E,F5,40,7F,00,10,00,00,
2255742,00000096,false,Rx,0,8,64,00,54,AA,01,FF,FF,FF,
2257778,00000294,false,Rx,0,5,73,C7,FE,FF,14,00,00,00,
2257781,00000081,false,Rx,0,8,06,10,00,06,06,05,05,FF,
2257783,000000A5,false,Rx,0,8,28,01,FF,F7,FF,00,00,C1,
2257784,000000D9,false,Rx,0,8,A4,F2,00,10,00,F0,7F,CF,
2258883,000000A7,false,Rx,0,7,7C,F1,FF,F0,FF,FF,0F,00,
2258887,000000DC,false,Rx,0,6,5D,01,22,D0,07,EE,00,00,
2258888,00000302,false,Rx,0,7,E1,F5,B6,6F,01,00,00,00,
2258890,000003A1,false,Rx,0,8,00,01,00,03,00,C0,00,F0,
2260348,000001A1,false,Rx,0,5,2E,CA,00,00,81,00,00,00,
2261930,00000197,false,Rx,0,4,B1,08,FE,FC,00,00,00,00,
2263251,00000083,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
2263254,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
2264666,0000019F,false,Rx,0,6,FF,F6,09,80,00,10,00,00,
2264669,000002E0,false,Rx,0,6,36,FB,75,40,24,FF,00,00,
2265807,00000065,false,Rx,0,8,68,87,30,03,FF,FF,FF,FF,
2268486,000000FA,false,Rx,0,8,03,10,08,02,38,59,28,CA,
2268489,000000D9,false,Rx,0,8,F9,F3,00,10,00,F0,7F,CF,
2268491,000001AE,false,Rx,0,3,07,65,1A,00,00,00,00,00,
2268493,000001E4,false,Rx,0,8,62,0A,61,61,11,11,11,11,
2268495,00000145,false,Rx,0,3,C8,9F,F0,00,00,00,00,00,
