Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
61557664,000001C0,false,Rx,0,8,5E,37,00,40,63,55,55,57,
61557667,000000D9,false,Rx,0,8,90,F7,00,10,00,F0,7F,CF,
61557670,000000A5,false,Rx,0,8,40,0B,FF,F7,FF,00,00,C1,
61558810,000000A7,false,Rx,0,7,FA,FB,FF,F0,FF,FF,0F,00,
61558814,000000DC,false,Rx,0,6,FE,0B,22,D0,07,EE,00,00,
61561451,000001A1,false,Rx,0,5,46,C5,00,00,81,00,00,00,
61563705,00000083,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
61563709,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
61563712,0000019F,false,Rx,0,6,EC,FB,03,80,00,10,00,00,
61566183,000001DB,false,Rx,0,8,8C,00,0A,6E,50,08,1A,FF,
61566187,000002E0,false,Rx,0,6,4A,F4,75,40,24,FF,00,00,
61566189,00000065,false,Rx,0,8,87,81,00,03,FF,FF,FF,FF,
61566192,00000096,false,Rx,0,8,64,00,54,AA,01,FF,FF,FF,
61567286,000002EB,false,Rx,0,8,5C,F0,11,11,11,62,11,FF,
61568386,000000D9,false,Rx,0,8,CC,F8,00,10,00,F0,7F,CF,
61568389,000000FA,false,Rx,0,8,03,10,08,02,38,59,28,CA,
61568392,000002AE,false,Rx,0,8,FF,00,FF,64,FF,AF,64,00,
61569490,000001AE,false,Rx,0,3,07,65,1A,00,00,00,00,00,
61569493,00000284,false,Rx,0,8,C8,80,0C,FF,FF,FF,FF,0F,
61569496,000001E4,false,Rx,0,8,3F,0B,61,61,11,11,11,11,
61571905,00000197,false,Rx,0,4,34,05,FE,FC,00,00,00,00,
61571907,0000019D,false,Rx,0,8,0A,3E,92,02,FF,FF,FF,FF,
61574618,00000199,false,Rx,0,6,BE,FC,E1,7E,00,20,00,00,
61574620,0000019A,false,Rx,0,6,98,FC,4A,7F,00,10,00,00,
61577557,00000376,false,Rx,0,3,AB,12,11,00,00,00,00,00,
61577559,000000D9,false,Rx,0,8,91,F9,00,10,00,F0,7F,CF,
61578583,000000A5,false,Rx,0,8,CE,0C,FF,F7,FF,00,00,C1,
61578585,000000A7,false,Rx,0,7,35,FC,FF,F0,FF,FF,0F,00,
61578586,00000095,false,Rx,0,8,64,68,96,00,00,F0,00,00,
61578588,000000DC,false,Rx,0,6,F5,0C,22,D0,07,EE,00,00,
61578589,000001CE,false,Rx,0,8,64,68,96,00,00,F0,00,00,
61579722,000001CF,false,Rx,0,8,64,68,96,00,00,F0,00,00,
61579723,00000163,false,Rx,0,8,F2,FC,04,25,13,15,04,F5,
61579725,00000302,false,Rx,0,7,AD,FC,B6,6F,01,00,00,00,
61581459,000001A1,false,Rx,0,5,FC,C6,00,00,81,00,00,00,
61581460,0000024A,false,Rx,0,8,02,01,00,00,00,00,F4,FF,
61583567,00000083,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
61583568,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
61584634,0000019F,false,Rx,0,6,78,FD,0D,80,00,10,00,00,
61584635,00000301,false,Rx,0,7,84,CD,04,72,FF,FF,2F,00,
61586270,0000012F,false,Rx,0,8,88,7A,FA,DD,FF,FF,FF,00,
61587565,00000373,false,Rx,0,6,00,B0,09,FF,FF,FF,00,00,
61587566,000000D9,false,Rx,0,8,76,FA,00,10,00,F0,7F,CF,
61588794,000000FA,false,Rx,0,8,05,86,12,08,76,76,76,00,
